City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Puerto Rondon,CO,2022-05-26 13:07:01,6.2805,-71.1,77.45,83,100,2.59
230,Banikoara,BJ,2022-05-26 13:07:01,11.2985,2.4386,99.91,28,12,4.54
231,Santa Pola,ES,2022-05-26 13:07:02,38.1917,-0.5658,79.16,38,20,9.22
232,Porto Empedocle,IT,2022-05-26 13:07:02,37.2934,13.5264,96.31,39,100,14.79
233,Chadan,RU,2022-05-26 13:07:02,51.2833,91.5833,67.23,64,100,6.78
234,Pontianak,ID,2022-05-26 13:07:03,-0.0333,109.3333,80.58,83,40,5.75
235,Rassvet,RU,2022-05-26 13:07:03,46.8333,40.75,67.8,56,100,10.47
236,Samarai,PG,2022-05-26 13:07:03,-10.6167,150.6667,80.65,74,53,11.16
237,Tornio,FI,2022-05-26 13:07:04,65.8481,24.1466,66.22,53,27,7.38
238,Springfield,US,2022-05-26 13:03:48,37.2153,-93.2982,54.23,94,100,6.91
239,Sumbe,AO,2022-05-26 13:04:17,-11.2061,13.8437,77.97,72,13,8.48
240,Rosarito,MX,2022-05-26 13:06:00,32.3333,-117.0333,61.77,84,39,2.89
241,Cubulco,GT,2022-05-26 13:02:08,15.1333,-90.5833,67.12,95,100,1.12
242,Xichang,CN,2022-05-26 13:07:05,27.8964,102.2634,66.74,87,100,1.07
243,Kenai,US,2022-05-26 13:07:05,60.5544,-151.2583,41.14,88,0,4.61
244,Tarut,SA,2022-05-26 13:07:05,26.5733,50.0369,100.62,33,0,16.28
245,Avera,US,2022-05-26 13:07:06,33.194,-82.5271,76.55,88,100,11.21
246,Sciacca,IT,2022-05-26 13:07:06,37.5082,13.0881,88.03,34,100,19.84
247,Viedma,AR,2022-05-26 13:07:07,-40.8135,-62.9967,39.43,42,0,9.51
248,Puerto Del Rosario,ES,2022-05-26 13:07:07,28.5004,-13.8627,71.35,64,20,11.5
249,Agadir,MA,2022-05-26 13:07:07,30.4202,-9.5982,79.25,57,17,7.81
250,Aksay,RU,2022-05-26 13:07:08,47.26,39.87,73.62,47,100,13.91
251,Lagoa,PT,2022-05-26 13:07:08,39.05,-27.9833,61.68,76,99,17.13
