City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Huarmey,PE,-10.0681,-78.1522,67.28,76,56,10.07,broken clouds
255,Havoysund,NO,70.9963,24.6622,53.83,66,37,13.78,scattered clouds
256,Biak,ID,-0.9131,122.8766,76.41,84,99,5.59,overcast clouds
257,Trinidad,BO,-14.8333,-64.9,84.18,74,40,0.0,scattered clouds
258,Okakarara,NA,-20.5833,17.4333,56.61,32,0,5.99,clear sky
259,Luanda,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
260,Sioux Lookout,CA,50.1001,-91.917,57.99,55,97,6.31,overcast clouds
261,Port Lincoln,AU,-34.7333,135.8667,56.39,82,50,6.22,scattered clouds
262,Coihaique,CL,-45.5752,-72.0662,36.21,86,20,3.44,few clouds
263,Nenjiang,CN,49.1833,125.2167,60.71,63,3,4.9,clear sky
264,Tazovskiy,RU,67.4667,78.7,36.14,72,74,8.37,broken clouds
265,Villa Bruzual,VE,9.3328,-69.1208,81.86,73,100,4.07,overcast clouds
266,Castro,BR,-24.7911,-50.0119,58.44,73,91,2.28,overcast clouds
267,Abu Dhabi,AE,24.4667,54.3667,87.91,51,0,5.75,clear sky
268,Saldanha,ZA,-33.0117,17.9442,59.43,85,0,8.37,clear sky
269,Mehamn,NO,71.0357,27.8492,40.91,79,57,14.34,broken clouds
270,Meulaboh,ID,4.1363,96.1285,77.18,86,100,5.48,overcast clouds
271,Oranjestad,AW,12.524,-70.027,80.65,81,9,28.16,clear sky
272,Kichera,RU,55.9375,110.0997,41.68,73,47,6.26,scattered clouds
273,Katherine,AU,-14.4667,132.2667,62.92,72,15,6.91,few clouds
274,Acopiara,BR,-6.0953,-39.4525,77.2,64,100,3.69,overcast clouds
275,Panacan,PH,9.2463,118.4082,80.6,78,100,1.3,overcast clouds
276,Mayo,US,38.8876,-76.5119,72.36,86,100,10.36,overcast clouds
277,Darhan,MN,49.4867,105.9228,55.45,58,99,10.67,overcast clouds
278,Nantucket,US,41.2835,-70.0995,62.74,77,0,9.22,clear sky
